transaction_id,customer_id,transaction_time,transaction_amount,transaction_type,merchant_category,device_type,location,customer_age,customer_income,days_since_last_transaction,new_device_flag,new_location_flag,account_age_days,is_international,is_fraud
20,C0002,2025-11-05 12:19:25.423183,130.34,pos,others,mobile,Daejeon,37,4500000,24,0,1,671,0,0
21,C0002,2025-11-06 10:43:25.423183,1303.12,atm,fashion,desktop,Ulsan,37,4500000,15,0,1,671,0,0
22,C0002,2025-11-07 00:49:25.423183,336.76,transfer,fashion,mobile,Incheon,37,4500000,22,0,1,671,0,0
23,C0003,2025-08-28 09:32:25.423364,425.82,atm,electronics,atm,Daejeon,67,3040000,24,0,1,2518,0,0
24,C0003,2025-08-28 09:44:25.423364,129.05,atm,travel,mobile,Daegu,67,3040000,19,0,1,2518,0,0
25,C0003,2025-08-28 11:39:25.423364,260.99,pos,fashion,desktop,Daejeon,67,3040000,22,0,1,2518,0,1
26,C0003,2025-08-29 09:19:25.423364,440.86,pos,others,desktop,Daejeon,67,3040000,17,0,1,2518,0,0
27,C0003,2025-08-29 13:21:25.423364,160.65,atm,electronics,desktop,Jeju,67,3040000,9,0,1,2518,0,0
28,C0003,2025-08-30 05:59:25.423364,544.88,atm,groceries,unknown,Incheon,67,3040000,29,0,1,2518,0,0
29,C0003,2025-08-30 10:48:25.423364,249.51,online,fashion,unknown,Gwangju,67,3040000,16,0,1,2518,0,1
30,C0003,2025-08-30 21:09:25.423364,319.46,atm,groceries,unknown,Jeju,67,3040000,17,0,1,2518,0,0
31,C0003,2025-08-31 08:18:25.423364,249.29,pos,others,desktop,Ulsan,67,3040000,24,0,1,2518,0,0
32,C0003,2025-09-01 00:36:25.423364,1775.47,atm,travel,desktop,Jeju,67,3040000,4,0,1,2518,0,0
33,C0003,2025-09-01 04:11:25.423364,399.1,atm,electronics,unknown,Seoul,67,3040000,13,0,1,2518,0,0
34,C0003,2025-09-01 06:54:25.423364,173.09,atm,fashion,atm,Ulsan,67,3040000,27,0,1,2518,0,0
35,C0003,2025-09-02 01:16:25.423364,779.02,atm,fashion,unknown,Seoul,67,3040000,7,0,1,2518,0,0
36,C0003,2025-09-02 09:11:25.423364,151.92,online,travel,mobile,Busan,67,3040000,22,0,0,2518,0,0
37,C0003,2025-09-02 20:25:25.423364,476.8,online,fashion,atm,Gwangju,67,3040000,7,0,1,2518,0,0
38,C0003,2025-09-03 02:43:25.423364,84.12,pos,groceries,mobile,Ulsan,67,3040000,7,0,1,2518,0,0
39,C0003,2025-09-03 10:48:25.423364,139.41,atm,others,atm,Jeju,67,3040000,0,0,1,2518,0,0
40,C0004,2025-08-13 02:56:25.423616,472.24,pos,electronics,unknown,Gwangju,47,2320000,9,0,1,483,0,0
41,C0004,2025-08-13 11:38:25.423616,728.34,atm,fashion,desktop,Ulsan,47,2320000,3,0,1,483,0,0
42,C0004,2025-08-14 07:25:25.423616,462.71,transfer,others,atm,Seoul,47,2320000,21,0,0,483,0,1
43,C0004,2025-08-15 06:59:25.423616,367.78,online,entertainment,unknown,Daejeon,47,2320000,7,0,1,483,0,0
44,C0004,2025-08-16 04:52:25.423616,317.07,pos,entertainment,atm,Incheon,47,2320000,28,0,1,483,0,1
45,C0004,2025-08-16 20:04:25.423616,123.62,online,entertainment,atm,Incheon,47,2320000,9,0,1,483,0,0
46,C0004,2025-08-17 03:05:25.423616,226.81,pos,entertainment,atm,Daejeon,47,2320000,8,0,1,483,0,0
47,C0004,2025-08-17 13:19:25.423616,279.08,transfer,electronics,unknown,Busan,47,2320000,30,0,1,483,0,0
48,C0004,2025-08-18 12:30:25.423616,939.83,atm,entertainment,atm,Busan,47,2320000,0,0,1,483,0,0
49,C0004,2025-08-19 01:14:25.423616,531.07,transfer,entertainment,unknown,Gwangju,47,2320000,7,0,1,483,0,0
50,C0004,2025-08-19 20:33:25.423616,98.45,transfer,entertainment,desktop,Busan,47,2320000,14,0,1,483,0,0
51,C0004,2025-08-20 10:39:25.423616,522.84,online,groceries,mobile,Seoul,47,2320000,15,0,0,483,0,0
52,C0004,2025-08-21 05:09:25.423616,296.47,pos,travel,unknown,Gwangju,47,2320000,23,0,1,483,0,0
53,C0004,2025-08-22 01:21:25.423616,234.74,pos,travel,mobile,Jeju,47,2320000,30,0,1,483,0,1
54,C0005,2025-10-10 23:25:25.423804,658.09,atm,groceries,atm,Busan,33,4380000,11,0,1,2398,0,0
55,C0005,2025-10-11 11:49:25.423804,920.39,online,travel,atm,Daegu,33,4380000,30,0,1,2398,0,0
56,C0005,2025-10-12 10:36:25.423804,849.82,pos,others,mobile,Seoul,33,4380000,7,0,0,2398,0,0
57,C0005,2025-10-12 17:46:25.423804,206.15,online,entertainment,desktop,Daegu,33,4380000,7,0,1,2398,0,0
58,C0005,2025-10-13 14:16:25.423804,315.02,online,fashion,desktop,Incheon,33,4380000,25,0,1,2398,0,0
59,C0005,2025-10-13 15:18:25.423804,525.85,pos,electronics,atm,Daegu,33,4380000,0,0,1,2398,0,0
60,C0005,2025-10-14 05:50:25.423804,880.45,online,others,mobile,Jeju,33,4380000,11,0,1,2398,0,0
61,C0005,2025-10-14 23:11:25.423804,274.97,pos,entertainment,mobile,Daejeon,33,4380000,30,1,1,2398,0,0
62,C0005,2025-10-15 13:03:25.423804,347.75,atm,others,mobile,Jeju,33,4380000,14,1,1,2398,0,0
63,C0005,2025-10-16 09:58:25.423804,166.49,pos,electronics,desktop,Daejeon,33,4380000,18,0,1,2398,0,0
64,C0005,2025-10-17 06:31:25.423804,154.94,transfer,travel,unknown,Busan,33,4380000,3,0,1,2398,0,0
65,C0005,2025-10-18 01:30:25.423804,772.8,pos,travel,unknown,Daegu,33,4380000,26,0,1,2398,0,0
66,C0005,2025-10-18 04:54:25.423804,1193.91,transfer,travel,atm,Daejeon,33,4380000,4,0,1,2398,0,0
67,C0005,2025-10-18 08:10:25.423804,380.84,online,electronics,unknown,Busan,33,4380000,11,0,1,2398,0,0
68,C0005,2025-10-19 04:21:25.423804,900.39,transfer,others,mobile,Ulsan,33,4380000,21,0,1,2398,0,0
69,C0005,2025-10-19 06:16:25.423804,538.78,transfer,entertainment,atm,Gwangju,33,4380000,16,0,1,2398,0,0
70,C0006,2025-10-24 20:14:25.424030,240.78,transfer,electronics,atm,Daegu,32,9330000,27,0,1,1002,0,0
71,C0006,2025-10-25 17:37:25.424030,538.68,online,entertainment,atm,Seoul,32,9330000,22,0,1,1002,0,0
72,C0006,2025-10-26 05:45:25.424030,1380.82,online,groceries,desktop,Ulsan,32,9330000,23,0,0,1002,0,0
73,C0006,2025-10-27 00:01:25.424030,392.03,pos,travel,unknown,Jeju,32,9330000,11,0,1,1002,0,0
74,C0006,2025-10-27 19:33:25.424030,1410.52,online,electronics,desktop,Incheon,32,9330000,1,0,1,1002,0,0
75,C0006,2025-10-28 18:18:25.424030,49.61,atm,travel,unknown,Ulsan,32,9330000,24,0,0,1002,0,0
76,C0006,2025-10-28 22:15:25.424030,778.62,transfer,others,unknown,Daejeon,32,9330000,12,0,1,1002,0,0
77,C0006,2025-10-29 05:23:25.424030,432.52,transfer,groceries,desktop,Daejeon,32,9330000,3,1,1,1002,0,0
78,C0006,2025-10-29 11:32:25.424030,317.6,pos,travel,desktop,Gwangju,32,9330000,27,0,1,1002,0,0
79,C0006,2025-10-30 03:23:25.424030,434.16,online,fashion,unknown,Ulsan,32,9330000,13,0,0,1002,0,0
80,C0006,2025-10-30 14:38:25.424030,82.26,pos,entertainment,unknown,Gwangju,32,9330000,27,0,1,1002,0,0
81,C0006,2025-10-31 04:28:25.424030,338.41,online,travel,atm,Gwangju,32,9330000,24,0,1,1002,0,0
82,C0007,2025-09-01 01:41:25.424209,536.83,pos,fashion,atm,Incheon,48,8030000,4,0,1,3415,0,0
83,C0007,2025-09-01 07:04:25.424209,1315.95,online,groceries,unknown,Jeju,48,8030000,24,0,1,3415,0,0
84,C0007,2025-09-02 02:30:25.424209,266.5,transfer,others,atm,Incheon,48,8030000,15,0,1,3415,0,0
85,C0007,2025-09-02 12:02:25.424209,211.28,online,fashion,mobile,Daejeon,48,8030000,1,1,0,3415,0,0
86,C0007,2025-09-02 14:49:25.424209,270.05,online,entertainment,unknown,Jeju,48,8030000,30,0,1,3415,0,0
87,C0007,2025-09-03 06:20:25.424209,839.09,pos,fashion,unknown,Incheon,48,8030000,14,0,1,3415,0,0
88,C0007,2025-09-03 18:13:25.424209,524.79,online,entertainment,desktop,Seoul,48,8030000,14,0,1,3415,0,0
89,C0007,2025-09-04 15:11:25.424209,264.06,pos,fashion,atm,Daejeon,48,8030000,24,0,0,3415,0,0
90,C0008,2025-10-29 19:32:25.424330,608.27,online,entertainment,unknown,Daejeon,20,9770000,27,0,1,2959,0,0
91,C0008,2025-10-30 00:49:25.424330,436.01,transfer,electronics,desktop,Gwangju,20,9770000,20,0,1,2959,0,0
92,C0008,2025-10-30 21:17:25.424330,875.61,online,fashion,unknown,Gwangju,20,9770000,21,0,1,2959,0,0
93,C0008,2025-10-31 20:50:25.424330,230.06,online,others,unknown,Gwangju,20,9770000,9,0,1,2959,1,0
94,C0008,2025-11-01 13:35:25.424330,310.4,pos,groceries,desktop,Incheon,20,9770000,27,0,0,2959,0,0
95,C0008,2025-11-02 08:10:25.424330,294.8,online,others,atm,Incheon,20,9770000,4,0,0,2959,0,0
96,C0008,2025-11-03 05:39:25.424330,125.11,pos,others,unknown,Seoul,20,9770000,21,0,1,2959,0,0
97,C0008,2025-11-04 02:39:25.424330,511.27,transfer,others,unknown,Daegu,20,9770000,9,0,1,2959,0,0
98,C0008,2025-11-04 09:26:25.424330,497.13,transfer,others,unknown,Jeju,20,9770000,24,0,1,2959,0,0
99,C0008,2025-11-04 15:07:25.424330,405.08,pos,entertainment,desktop,Daejeon,20,9770000,15,0,1,2959,0,0
100,C0008,2025-11-04 18:47:25.424330,334.4,online,fashion,mobile,Incheon,20,9770000,28,0,0,2959,0,0
101,C0008,2025-11-04 22:04:25.424330,130.02,pos,travel,atm,Seoul,20,9770000,12,0,1,2959,0,0
102,C0008,2025-11-05 01:01:25.424330,288.15,transfer,groceries,mobile,Gwangju,20,9770000,26,0,1,2959,0,0
103,C0008,2025-11-05 06:10:25.424330,306.69,pos,electronics,atm,Jeju,20,9770000,4,0,1,2959,0,0
104,C0008,2025-11-06 03:20:25.424330,212.34,online,electronics,mobile,Daejeon,20,9770000,4,0,1,2959,0,0
105,C0009,2025-10-23 18:07:25.424558,354.59,pos,fashion,mobile,Seoul,47,5480000,20,0,1,736,0,0
106,C0009,2025-10-23 22:04:25.424558,557.38,atm,entertainment,mobile,Daegu,47,5480000,9,0,1,736,0,0
107,C0009,2025-10-24 06:26:25.424558,1824.29,atm,groceries,mobile,Gwangju,47,5480000,16,0,1,736,0,0
108,C0009,2025-10-24 23:55:25.424558,463.9,online,travel,unknown,Seoul,47,5480000,11,0,1,736,0,1
109,C0009,2025-10-25 02:23:25.424558,495.73,transfer,groceries,mobile,Gwangju,47,5480000,11,0,1,736,0,0
110,C0009,2025-10-25 08:31:25.424558,380.1,atm,others,unknown,Incheon,47,5480000,2,0,1,736,0,0
111,C0009,2025-10-25 09:56:25.424558,86.92,transfer,groceries,mobile,Daegu,47,5480000,10,0,1,736,0,0
112,C0009,2025-10-26 04:38:25.424558,394.96,atm,fashion,mobile,Daegu,47,5480000,27,0,1,736,0,0
113,C0009,2025-10-26 16:07:25.424558,423.34,transfer,electronics,atm,Ulsan,47,5480000,23,0,1,736,0,0
114,C0009,2025-10-27 03:51:25.424558,2894.58,pos,travel,unknown,Gwangju,47,5480000,16,0,1,736,0,0
115,C0009,2025-10-27 18:30:25.424558,345.89,online,travel,desktop,Daejeon,47,5480000,2,0,0,736,0,0
116,C0009,2025-10-28 09:53:25.424558,513.49,atm,groceries,unknown,Gwangju,47,5480000,23,0,1,736,0,0
117,C0009,2025-10-29 00:53:25.424558,392.38,transfer,others,mobile,Busan,47,5480000,12,0,1,736,0,0
118,C0009,2025-10-30 00:14:25.424558,158.39,pos,electronics,desktop,Jeju,47,5480000,2,0,1,736,0,0
119,C0009,2025-10-30 12:45:25.424558,1006.52,atm,entertainment,mobile,Incheon,47,5480000,30,0,1,736,0,0
120,C0009,2025-10-30 15:32:25.424558,736.23,pos,entertainment,atm,Ulsan,47,5480000,8,0,1,736,0,0
121,C0009,2025-10-30 22:03:25.424558,759.63,atm,entertainment,unknown,Busan,47,5480000,8,0,1,736,0,0
122,C0009,2025-10-31 19:06:25.424558,194.9,transfer,others,unknown,Daegu,47,5480000,27,1,1,736,0,0
123,C0010,2025-10-27 07:33:25.424818,1239.22,transfer,others,atm,Busan,33,9810000,9,0,1,518,0,0
124,C0010,2025-10-28 05:29:25.424818,131.44,pos,fashion,desktop,Busan,33,9810000,25,0,1,518,0,0
125,C0010,2025-10-28 06:32:25.424818,645.15,transfer,entertainment,atm,Jeju,33,9810000,17,0,1,518,0,0
126,C0010,2025-10-28 08:56:25.424818,2327.07,transfer,travel,unknown,Ulsan,33,9810000,26,0,1,518,0,0
127,C0010,2025-10-28 19:55:25.424818,182.65,online,travel,unknown,Gwangju,33,9810000,26,0,0,518,0,0
128,C0010,2025-10-29 02:17:25.424818,256.46,pos,travel,mobile,Busan,33,9810000,9,0,1,518,0,0
129,C0010,2025-10-29 10:08:25.424818,436.91,transfer,entertainment,atm,Busan,33,9810000,20,0,1,518,0,0
130,C0010,2025-10-30 07:38:25.424818,269.68,transfer,entertainment,mobile,Incheon,33,9810000,18,0,1,518,0,0
131,C0010,2025-10-31 04:27:25.424818,116.68,transfer,entertainment,mobile,Seoul,33,9810000,30,0,1,518,0,0
132,C0010,2025-11-01 02:50:25.424818,426.18,pos,entertainment,unknown,Seoul,33,9810000,20,0,1,518,0,0
133,C0010,2025-11-01 13:18:25.424818,172.46,atm,groceries,unknown,Daejeon,33,9810000,22,1,1,518,0,0
134,C0010,2025-11-02 05:59:25.424818,589.26,atm,groceries,atm,Incheon,33,9810000,22,0,1,518,0,0
135,C0010,2025-11-02 17:56:25.424818,193.34,atm,groceries,atm,Busan,33,9810000,14,0,1,518,0,0
136,C0010,2025-11-02 22:54:25.424818,1394.02,online,electronics,atm,Ulsan,33,9810000,13,0,1,518,0,0
137,C0010,2025-11-03 04:31:25.424818,215.59,transfer,entertainment,atm,Daegu,33,9810000,15,0,1,518,0,0
138,C0010,2025-11-03 15:12:25.424818,311.8,atm,electronics,mobile,Ulsan,33,9810000,30,0,1,518,0,0
139,C0010,2025-11-03 17:01:25.424818,773.41,online,fashion,unknown,Jeju,33,9810000,0,0,1,518,0,0
140,C0010,2025-11-04 02:12:25.424818,150.7,transfer,travel,atm,Seoul,33,9810000,18,0,1,518,0,0
141,C0010,2025-11-04 12:13:25.424818,483.94,online,travel,unknown,Daejeon,33,9810000,19,0,1,518,0,0
142,C0011,2025-09-17 21:01:25.425105,1147.93,transfer,entertainment,atm,Incheon,25,5890000,16,0,1,1570,0,0
143,C0011,2025-09-17 22:30:25.425105,111.5,pos,others,atm,Jeju,25,5890000,4,0,1,1570,0,0
144,C0011,2025-09-18 09:51:25.425105,467.64,transfer,groceries,unknown,Daejeon,25,5890000,16,0,1,1570,0,0
145,C0011,2025-09-19 05:13:25.425105,496.66,transfer,travel,mobile,Gwangju,25,5890000,3,0,1,1570,0,0
146,C0011,2025-09-20 04:52:25.425105,754.05,online,entertainment,unknown,Daejeon,25,5890000,25,0,1,1570,0,0
147,C0011,2025-09-20 12:48:25.425105,149.97,online,entertainment,unknown,Incheon,25,5890000,23,0,1,1570,0,0
148,C0011,2025-09-20 18:00:25.425105,140.28,pos,electronics,mobile,Daegu,25,5890000,10,0,1,1570,1,0
149,C0011,2025-09-21 01:07:25.425105,612.5,atm,entertainment,unknown,Seoul,25,5890000,16,0,1,1570,0,0
150,C0012,2025-08-31 21:08:25.425212,511.62,transfer,groceries,unknown,Gwangju,42,8180000,21,0,1,3405,0,0
151,C0012,2025-09-01 19:15:25.425212,492.94,transfer,entertainment,unknown,Daegu,42,8180000,8,0,1,3405,0,0
152,C0012,2025-09-02 05:34:25.425212,532.27,transfer,others,desktop,Jeju,42,8180000,11,0,1,3405,0,0
153,C0012,2025-09-02 15:04:25.425212,234.15,transfer,electronics,unknown,Ulsan,42,8180000,30,0,1,3405,0,0
154,C0012,2025-09-02 16:40:25.425212,485.8,transfer,others,mobile,Gwangju,42,8180000,20,0,1,3405,0,0
155,C0012,2025-09-02 23:43:25.425212,510.02,transfer,entertainment,atm,Incheon,42,8180000,23,0,1,3405,0,0
156,C0012,2025-09-03 22:44:25.425212,227.81,pos,others,desktop,Seoul,42,8180000,10,0,1,3405,0,0
157,C0012,2025-09-04 03:35:25.425212,1794.75,online,entertainment,desktop,Ulsan,42,8180000,28,0,1,3405,0,0
158,C0012,2025-09-04 10:33:25.425212,589.38,transfer,fashion,atm,Seoul,42,8180000,2,0,1,3405,0,0
159,C0012,2025-09-04 11:59:25.425212,155.55,pos,travel,desktop,Seoul,42,8180000,12,0,1,3405,0,0
160,C0012,2025-09-04 22:01:25.425212,682.15,online,electronics,atm,Busan,42,8180000,10,0,1,3405,0,0
161,C0012,2025-09-05 16:43:25.425212,184.98,atm,groceries,unknown,Daejeon,42,8180000,3,0,0,3405,0,0
162,C0012,2025-09-06 15:00:25.425212,757.23,transfer,others,desktop,Seoul,42,8180000,25,0,1,3405,0,0
163,C0012,2025-09-06 21:45:25.425212,1019.31,pos,entertainment,unknown,Ulsan,42,8180000,2,0,1,3405,0,0
164,C0012,2025-09-07 02:42:25.425212,209.23,atm,fashion,desktop,Seoul,42,8180000,7,0,1,3405,0,0
165,C0012,2025-09-07 14:07:25.425212,871.92,transfer,entertainment,mobile,Daejeon,42,8180000,22,0,0,3405,0,0
166,C0012,2025-09-08 06:10:25.425212,561.28,transfer,groceries,unknown,Daejeon,42,8180000,20,0,0,3405,0,0
167,C0012,2025-09-09 03:18:25.425212,778.72,pos,groceries,desktop,Jeju,42,8180000,23,0,1,3405,0,0
168,C0012,2025-09-09 22:12:25.425212,1839.84,atm,entertainment,desktop,Daegu,42,8180000,19,0,1,3405,0,0
169,C0012,2025-09-10 13:36:25.425212,331.52,transfer,electronics,mobile,Seoul,42,8180000,28,0,1,3405,0,0
170,C0013,2025-10-16 19:28:25.425505,220.75,atm,electronics,desktop,Jeju,22,9470000,16,0,0,2296,0,0
171,C0013,2025-10-17 00:08:25.425505,198.02,atm,travel,mobile,Jeju,22,9470000,9,0,0,2296,0,0
172,C0013,2025-10-17 00:24:25.425505,210.05,pos,entertainment,mobile,Seoul,22,9470000,22,1,1,2296,0,0
173,C0013,2025-10-17 02:55:25.425505,379.3,atm,electronics,atm,Ulsan,22,9470000,4,0,1,2296,0,0
174,C0013,2025-10-18 01:07:25.425505,530.02,atm,fashion,unknown,Jeju,22,9470000,29,0,0,2296,0,0
175,C0013,2025-10-18 23:52:25.425505,503.38,pos,others,atm,Busan,22,9470000,17,0,1,2296,0,0
176,C0013,2025-10-19 07:38:25.425505,781.92,online,electronics,atm,Jeju,22,9470000,17,0,0,2296,0,0
177,C0013,2025-10-19 15:38:25.425505,407.65,pos,travel,atm,Incheon,22,9470000,29,0,1,2296,0,0
178,C0013,2025-10-19 16:53:25.425505,1290.55,atm,entertainment,mobile,Daegu,22,9470000,3,0,1,2296,0,0
179,C0014,2025-10-06 09:47:25.425638,326.45,atm,travel,desktop,Daegu,27,5870000,24,1,1,2361,0,0
180,C0014,2025-10-06 19:49:25.425638,3555.09,pos,others,atm,Gwangju,27,5870000,28,0,1,2361,0,0
181,C0014,2025-10-07 03:31:25.425638,665.5,atm,fashion,atm,Seoul,27,5870000,18,0,1,2361,0,0
182,C0014,2025-10-08 01:03:25.425638,203.22,atm,entertainment,unknown,Seoul,27,5870000,30,0,1,2361,0,0
183,C0014,2025-10-08 19:07:25.425638,171.28,transfer,others,unknown,Ulsan,27,5870000,12,0,1,2361,0,0
184,C0014,2025-10-09 03:30:25.425638,593.46,pos,fashion,desktop,Jeju,27,5870000,17,0,1,2361,0,0
185,C0015,2025-09-18 16:34:25.425729,337.39,transfer,groceries,atm,Busan,38,8430000,27,0,1,2464,0,0
186,C0015,2025-09-18 23:14:25.425729,714.23,online,fashion,unknown,Seoul,38,8430000,6,0,1,2464,0,0
187,C0015,2025-09-19 22:19:25.425729,589.1,pos,travel,desktop,Gwangju,38,8430000,29,1,0,2464,0,0
188,C0015,2025-09-20 02:29:25.425729,380.6,atm,groceries,desktop,Ulsan,38,8430000,17,0,1,2464,0,0
189,C0015,2025-09-20 18:33:25.425729,204.91,transfer,fashion,atm,Gwangju,38,8430000,15,0,0,2464,0,0
190,C0015,2025-09-21 10:44:25.425729,120.08,transfer,groceries,atm,Gwangju,38,8430000,18,0,0,2464,0,0
191,C0015,2025-09-21 11:27:25.425729,282.25,transfer,entertainment,unknown,Daejeon,38,8430000,10,0,1,2464,0,0
192,C0015,2025-09-21 20:00:25.425729,800.41,atm,entertainment,atm,Daejeon,38,8430000,15,0,1,2464,0,0
193,C0015,2025-09-22 12:54:25.425729,478.8,atm,groceries,atm,Incheon,38,8430000,17,0,1,2464,0,0
194,C0016,2025-08-31 09:26:25.425862,148.92,online,others,mobile,Seoul,32,9210000,26,0,1,287,0,0
195,C0016,2025-08-31 14:45:25.425862,463.38,online,groceries,unknown,Gwangju,32,9210000,20,0,1,287,0,0
196,C0016,2025-09-01 07:24:25.425862,549.09,atm,electronics,mobile,Ulsan,32,9210000,16,0,1,287,1,0
197,C0016,2025-09-01 17:21:25.425862,198.92,online,entertainment,unknown,Incheon,32,9210000,3,0,1,287,0,0
198,C0016,2025-09-02 14:40:25.425862,456.22,transfer,fashion,atm,Ulsan,32,9210000,30,0,1,287,0,0
199,C0016,2025-09-03 14:37:25.425862,422.66,pos,fashion,mobile,Seoul,32,9210000,12,0,1,287,0,0
200,C0017,2025-08-09 14:07:25.425964,161.68,online,travel,unknown,Gwangju,62,4330000,27,0,1,426,0,0
201,C0017,2025-08-09 15:44:25.425964,537.12,pos,groceries,unknown,Daejeon,62,4330000,2,0,0,426,0,0
202,C0017,2025-08-10 10:26:25.425964,631.83,online,groceries,atm,Seoul,62,4330000,18,0,1,426,0,0
203,C0017,2025-08-11 00:11:25.425964,959.53,online,fashion,desktop,Daegu,62,4330000,27,0,1,426,0,0
204,C0017,2025-08-11 11:40:25.425964,937.34,atm,others,desktop,Busan,62,4330000,11,1,1,426,0,0
205,C0018,2025-09-25 04:56:25.426043,134.0,atm,fashion,mobile,Daejeon,34,3030000,14,0,1,1238,0,0
206,C0018,2025-09-25 17:54:25.426043,190.52,atm,groceries,unknown,Busan,34,3030000,9,0,1,1238,0,0
207,C0018,2025-09-25 20:52:25.426043,609.13,transfer,groceries,unknown,Incheon,34,3030000,10,0,1,1238,0,0
208,C0018,2025-09-26 07:33:25.426043,608.52,atm,fashion,atm,Busan,34,3030000,5,0,1,1238,0,0
209,C0018,2025-09-27 01:12:25.426043,609.13,atm,electronics,mobile,Busan,34,3030000,2,0,1,1238,0,0
210,C0018,2025-09-27 14:30:25.426043,8797.17,online,fashion,unknown,Ulsan,34,3030000,23,0,0,1238,0,0
211,C0018,2025-09-27 22:57:25.426043,636.96,pos,others,unknown,Incheon,34,3030000,9,0,1,1238,0,0
212,C0019,2025-09-12 17:42:25.426146,1000.7,atm,fashion,unknown,Busan,49,8500000,30,0,1,766,0,0
213,C0019,2025-09-13 14:08:25.426146,865.41,pos,travel,mobile,Incheon,49,8500000,30,0,1,766,0,0
214,C0019,2025-09-14 03:16:25.426146,679.33,transfer,travel,atm,Ulsan,49,8500000,27,0,1,766,0,0
215,C0019,2025-09-14 13:41:25.426146,313.5,transfer,entertainment,desktop,Jeju,49,8500000,30,0,1,766,0,0
216,C0019,2025-09-15 13:34:25.426146,740.39,atm,entertainment,desktop,Gwangju,49,8500000,26,0,0,766,0,0
217,C0019,2025-09-16 08:58:25.426146,217.4,pos,entertainment,desktop,Seoul,49,8500000,14,0,1,766,0,0
218,C0019,2025-09-16 19:04:25.426146,333.8,online,travel,unknown,Incheon,49,8500000,7,0,1,766,0,0
219,C0019,2025-09-17 09:40:25.426146,273.61,atm,electronics,unknown,Jeju,49,8500000,17,0,1,766,0,0
220,C0019,2025-09-18 09:26:25.426146,430.74,atm,entertainment,mobile,Gwangju,49,8500000,25,0,0,766,0,0
221,C0019,2025-09-18 12:30:25.426146,2570.17,online,groceries,atm,Incheon,49,8500000,1,0,1,766,0,0
222,C0020,2025-09-25 22:58:25.426289,90.58,online,electronics,mobile,Daejeon,43,5630000,23,0,1,2845,0,0
223,C0020,2025-09-26 18:46:25.426289,698.55,pos,travel,atm,Ulsan,43,5630000,21,0,1,2845,0,0
224,C0020,2025-09-27 06:42:25.426289,111.03,online,travel,mobile,Daejeon,43,5630000,30,1,1,2845,0,0
225,C0020,2025-09-27 11:42:25.426289,276.57,transfer,fashion,atm,Jeju,43,5630000,16,0,1,2845,0,0
226,C0020,2025-09-28 02:49:25.426289,964.07,atm,fashion,mobile,Daejeon,43,5630000,22,0,1,2845,0,0
227,C0020,2025-09-29 01:06:25.426289,424.72,online,others,desktop,Daegu,43,5630000,17,0,0,2845,0,0
228,C0020,2025-09-29 17:02:25.426289,170.34,pos,travel,desktop,Incheon,43,5630000,13,0,1,2845,0,0
