축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명,외국인방문수,사진
2023계룡軍문화축제,충남 계룡시일원(계룡대 활주로 및 시가지),2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등",(재)계룡시문화관광재단,충청남도 계룡시,국방부 등,042-840-2623,http://m-festival.org/,군(軍)문화로 통(通)하는 YES 계룡,,충남 계룡시 신도안면 석계리 76,,,2023-08-28,5580000,충청남도 계룡시,163,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023하동세계차엑스포,경상남도 하동군 적량면 하동스포츠파크+하동군 화개면 하동야생차문화축제장,2023-05-04,2023-06-03,전시+교역+이벤트+체험+교육+여가+관광(다원+다실 등),(재)하동세계차엑스포조직위원회,경상남도청+경상남도 하동군청,문화체육관광부+중소벤처기업부+농촌진흥청+한국관광공사+대한무역투자진흥공사+중소벤처기업진흥공단,055-880-7023,https://www.hadongt.co.kr/,,경상남도 하동군 적량면 공설운동장로 207 일원+경상남도 하동군 화개면 쌍계로 571-25,,,,2024-11-14,5440000,경상남도 하동군,63,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023년 스물세번째 토지문학제,경상남도 하동군 악양면 최참판댁,2023-05-05,2023-05-07,문학제+교육+체험+경연+대회+토론,토지문학제운영위원회,토지문학제운영위원회,경상남도 하동군청,055-882-2675,https://www.hadong.go.kr/02641/02652/02816.web,,경상남도 하동군 악양면 평사리길 66-7,,,,2024-11-14,5440000,경상남도 하동군,97,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제9회 하동북천꽃양귀비축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2023-05-19,2023-05-22,꽃축제+전시+대회+공연,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-2416,https://www.hadong.go.kr/02641/02652/02810.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군,160,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제7회 하동섬진강문화재첩축제,경상남도 하동읍 송림공원 및 섬진강변 일원,2023-08-04,2023-08-06,먹거리축제+체험+공연+대회+판매,(사)하동섬진강문화재첩축제추진위원회,(사)하동섬진강문화재첩축제추진위원회,,055-880-2450,https://www.hadong.go.kr/02641/02652/02812.web,,경상남도 하동군 하동읍 섬진강대로 2107-8,,,,2024-11-14,5440000,경상남도 하동군,181,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제10회 술상전어축제,경상남도 하동군 진교면 술상항 일원,2023-08-11,2023-08-13,먹거리축제+판매+공연+체험,진교면 술상어촌계,진교면 술상어촌계,경상남도+경상남도 하동군청+하동군 수협,055-884-3656,https://www.hadong.go.kr/02641/02652/02813.web,,경상남도 하동군 진교면 술상길 195,,,,2024-11-14,5440000,경상남도 하동군,202,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제7회 하동북천코스모스메밀꽃축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2023-09-27,2023-10-09,꽃축제+전시+공연+판매,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-7416,https://www.hadong.go.kr/02641/02652/02814.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군,103,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023년 이병주하동국제문학제,경상남도 하동군 북천면 이병주문학관,2023-10-07,2023-10-07,문학제+경연,이병주하동국제문학제 조직위원회,(사)이병주기념사업회+국제신문,,055-882-2354,https://www.hadong.go.kr/02641/02652/02815.web,,경상남도 하동군 북천면 이명골길 14-28,,,,2024-11-14,5440000,경상남도 하동군,109,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023 별천지하동 적량김치축제,경상남도 하동군 적량면 문화복지센터,2023-12-09,2023-12-09,먹거리축제+판매+공연+체험,적량면 문화복지센터 운영위원회,적량면 문화복지센터 운영위원회,,055-880-6121,https://www.hadong.go.kr/02641/02652/03325.web,,경상남도 하동군 적량면 대티길 44-22,,,,2024-11-14,5440000,경상남도 하동군,148,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
하동청학 미나리 판매 행사,경상남도 하동군 횡천면 남산리 일원,2024-03-01,2024-03-31,먹거리축제+판매,하동청학미나리작목,하동청학미나리작목,,,https://www.hadong.go.kr/02641/02652/02805.web,,,경상남도 하동군 남산리 189,,,2024-11-14,5440000,경상남도 하동군,46,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제26회 화개장터벚꽃축제,경상남도 하동군 화개면 그린나래광장,2024-03-22,2024-03-24,벚꽃축제+공연+경연+판매,화개면 청년회,화개장터벚꽃축제추진위원회,경상남도 하동군청,055-880-2493,https://www.hadong.go.kr/02641/02652/02807.web,,,경상남도 하동군 화개면 탑리 576,,,2024-11-14,5440000,경상남도 하동군,-30,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제27회 하동야생차문화축제,경상남도 하동군 화개면 일대,2024-05-11,2024-05-15,전시+교역+이벤트+체험+교육+여가+관광(다원+다실 등),(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,055-880-2734,https://www.hadong.go.kr/02641/02652/02809.web,,경상남도 하동군 화개면 쌍계로 571-25,,,,2024-11-14,5440000,경상남도 하동군,45,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제10회 북천 꽃 양귀비 축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2024-05-10,2024-05-19,꽃축제+전시+대회+공연,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-2416,https://www.hadong.go.kr/02641/02652/02810.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군,108,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제8회 하동섬진강문화재첩축제,경상남도 하동읍 송림공원 및 섬진강변 일원,2024-06-14,2024-06-16,먹거리축제+체험+공연+대회+판매,(사)하동섬진강문화재첩축제추진위원회,(사)하동섬진강문화재첩축제추진위원회,,055-880-2450,https://www.hadong.go.kr/02641/02652/02812.web,,경상남도 하동군 하동읍 섬진강대로 2107-8,,,,2024-11-14,5440000,경상남도 하동군,124,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제18회 북천 코스모스 메밀꽃축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2024-09-13,2024-09-27,꽃축제+전시+공연+판매,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-7416,https://www.hadong.go.kr/02641/02652/02814.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군,116,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2024년 이병주국제문학제,경상남도 하동군 북천면 이병주문학관,2024-09-28,2024-09-28,문학제+경연,이병주하동국제문학제 조직위원회,(사)이병주기념사업회+국제신문,,055-882-2354,https://www.hadong.go.kr/02641/02652/02815.web,,경상남도 하동군 북천면 이명골길 14-28,,,,2024-11-14,5440000,경상남도 하동군,130,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
"하동을 먹다, 하동별맛 축제",경상남도 하동군 하동읍 하동송림공원,2024-10-04,2024-10-06,먹거리축제+판매+공연,한국생활개선 하동군연합회,한국생활개선 하동군연합회,,,https://www.hadong.go.kr/02641/02652/04970.web,,,경상남도 하동군 하동읍 광평리 440-5,,,2024-11-14,5440000,경상남도 하동군,150,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2024년 스물세번째 토지문학제,경상남도 하동군 악양면 최참판댁,2024-10-05,2024-10-12,문학제+교육+체험+경연+대회+토론,토지문학제운영위원회,토지문학제운영위원회,경상남도 하동군청,055-882-2675,https://www.hadong.go.kr/02641/02652/02816.web,,경상남도 하동군 악양면 평사리길 66-7,,,,2024-11-14,5440000,경상남도 하동군,107,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제16회 참숭어소비촉진대축제,경상남도 하동군 금남면 노량리 노량항 일원,2024-11-08,2024-11-09,먹거리축제+판매+전시+공연+대회,하동군어류양식업연합회,하동군수산업협동조합,경상남도청+경상남도 하동군청+수협중앙회+㈜수협사료+하동화력본부,055-884-3656,https://www.hadong.go.kr/02641/02652/02813.web,,,경상남도 하동군 금남면 노량리 742-12,,,2024-11-14,5440000,경상남도 하동군,131,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구,1023,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
구문소용축제,구문소관광단지 일원,2024-05-25,2024-05-26,용신제+전통공연+체험프로그램,구문소축제위원회,구문소축제위원회,강원특별자치도 태백시청,033-581-6904,http://tbcf.or.kr/,,강원특별자치도 태백시 사군드리길9,강원특별자치도 태백시 동점동280-7,37.09303192,129.0380079,2024-10-30,4221000,강원특별자치도 태백시,67,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
황연 기차화통 축제,오로라파크 및 통리5일장 일원,2024-06-14,2024-06-16,문화공연+체험행사+먹거리행사 등,황연동축제위원회,황연동+황연동주민자치위원회,강원특별자치도 태백시청,033-552-1371,http://tbcf.or.kr/,,강원특별자치도 태백시 통리길72,강원특별자치도 태백시 통동산68-12,37.17293428,129.0382895,2024-10-30,4221000,강원특별자치도 태백시,138,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
한강 낙동강 발원지 축제,황지연못(문화광장)+중앙로+ 검룡소 등,2024-07-26,2024-08-04,물놀이난장+공연+체험행사+부스 운영 등,태백시문화재단,태백시문화재단,강원특별자치도 태백시청,033-553-6900,http://tbcf.or.kr/,,강원특별자치도 태백시 황지연못길12,강원특별자치도 태백시 황지동623,37.17271135,128.9910602,2024-10-30,4221000,강원특별자치도 태백시,100,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
삼수 매봉산 바람개비 축제,검룡소첫물지리생태원,2024-07-19,2024-07-21,공연+체험프로그램+부스운영 등,삼수동주민자치위원회,삼수동축제위원회,강원특별자치도 태백시청,033-552-1376,http://tbcf.or.kr/,,강원특별자치도 태백시 검룡소길 476,강원특별자치도 태백시 창죽동146-1,37.23233537,128.9438251,2024-10-30,4221000,강원특별자치도 태백시,41,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
장성 탄탄마을 축제,장성중앙시장 일원 및 로드엔드 옆 소방도로,2024-09-28,2024-09-29,공연+체험프로그램+부스운영 등,장성동축제위원회,징성동주민자치위원회,강원특별자치도 태백시청,033-581-6903,http://tbcf.or.kr/,,강원특별자치도 태백시 장성1길 190,강원특별자치도 태백시 장성동 159-2,37.10068429,129.009713,2024-10-30,4221000,강원특별자치도 태백시,149,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
태백 황지연못 황부자며느리 축제,횡지연못(문화광장) 일원,2024-09-06,2024-09-08,마당극+걷기행사+가요제+야시장,태백시여성단체협의회,황부자며느리축제위원회,강원특별자치도 태백시청,033-552-1370,http://tbcf.or.kr/,,강원특별자치도 태백시 황지연못길12,강원특별자치도 태백시 황지동623,37.17271135,128.9910602,2024-10-30,4221000,강원특별자치도 태백시,111,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
철암 단풍축제,철암단풍군락지 일원,2024-10-18,2024-10-20,단풍길걷기대회+전시회+먹거리장터 등,철암동주민자치회,철암단풍축제위원회,강원특별자치도 태백시청,033-582-7906,http://tbcf.or.kr/,,강원특별자치도 태백시 동태백로 584,강원특별자치도 태백시 철암동 341-3,37.12174771,129.042924,2024-10-30,4221000,강원특별자치도 태백시,41,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
태백산 눈축제,태백산국립공원+황지연못 일원,2024-01-31,2024-02-09,눈조각대회+눈꽃등반대회+체험행사+공연 등,태백시문화재단,태백시문화재단,강원특별자치도 태백시청,033-553-6900,http://tbcf.or.kr/,,강원특별자치도 태백시 천제단길 4,강원특별자치도 태백시 소도동 101-3,37.13144934,128.9603549,2024-10-30,4221000,강원특별자치도 태백시,-15,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제30회 성산일출축제,서귀포시 성산일출봉 일원,2022-12-31,2023-01-01,코로나19 종식 기원 제주 큰굿+성산 10경+열린 음악회 등,제주특별자치도,성산일출축제위원회,,064-760-4281,https://www.sunrisefestival.kr/welcome,,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 85,33.46223376,126.9368007,2025-06-24,6520000,제주특별자치도 서귀포시,31,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제22회 최남단 방어축제,모슬포항 일원,2022-11-26,2022-12-25,청정 바다의 흥과멋과 맛의 향연,최남단방어축제위원회,최남단방어축제위원회,해양수산부+제주특별자치도+제주특별자치도 서귀포시+수협중앙회+모슬포수협,064-794-8032,http://bangeofestival.com/introduction,,제주특별자치도 서귀포시 대정읍 최남단해안로 66,제주특별자치도 서귀포시 대정읍 하모리 770-28,33.21449893,126.2520491,2025-06-24,6520000,제주특별자치도 서귀포시,92,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제29회 덕수리 전통민속 재현행사,덕수리민속공연장 (제주조각공원운동장),2022-10-07,2022-10-08,전통민속 재현,덕수리민속보존회,덕수리마을회,,064-760-4313,https://seogwipo.go.kr/festivals/deoksuri/info/intro.htm,,제주특별자치도 서귀포시 안덕면 일주서로 1836,제주특별자치도 서귀포시 안덕면 덕수리 산 27,33.2541298,126.3222874,2025-06-24,6520000,제주특별자치도 서귀포시,67,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2022 중문 칠선녀축제,중문관광단지 및 천제연폭포 일원,2022-11-05,2022-11-06,지역특화 콘텐츠 홍보+사진전,중문동연합청년회,중문칠선녀축제위원회,,064-760-4824,https://seogwipo.go.kr/festivals/sevenbeauty/info/intro.htm,,제주특별자치도 서귀포시 천제연로 132 중문관광단지,제주특별자치도 서귀포시 중문동 2232,33.252662,126.418354,2025-06-24,6520000,제주특별자치도 서귀포시,121,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제28회 제주 성읍마을 전통민속재현축제,제주성읍마을 남문광장,2022-10-09,2022-10-09,초가집줄놓기+전통혼례식 등,(사)성읍민속마을보존회+성읍1리 마을회,(사)성읍민속마을보존회+성읍1리 마을회,,064-760-4417,https://seogwipo.go.kr/festivals/seongeup/info/intro.htm,,제주특별자치도 서귀포시 표선면 성읍정의현로 30,제주특별자치도 서귀포시 표선면 성읍리 855-1,33.384904,126.8014971,2025-06-24,6520000,제주특별자치도 서귀포시,129,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제11회 혼인지축제,황루알~혼인지,2022-10-15,2022-10-16,길트기+삼공주 추원제+민속경기+향토음식경연 등,성산읍 온평리 마을회,성산읍 온평리 마을회,,064-760-4282,https://seogwipo.go.kr/festivals/marriage/info/intro.htm,,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6,제주특별자치도 서귀포시 성산읍 온평리 산 840-1,33.40812252,126.9001736,2025-06-24,6520000,제주특별자치도 서귀포시,139,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
합천황토한우축제,합천군민체육공원,2025-10-10,2025-10-12,합천의 자랑인 황토한우의 맛과 품격을 알리는 축제,합천축협,경상남도 합천군청 축산과,경상남도 합천군청+합천군의회,055-930-3573,https://www.hc.go.kr/06573/06623/09042.web,,경상남도 합천군 합천읍 문화로 62,경상남도 합천군 합천읍 합천리 896-15,35.5601699,128.1598684,2025-08-08,5480000,경상남도 합천군,113,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
황매산 억새축제,황매산군립공원,2025-10-11,2025-10-17,황매산 억새를 즐기는 축제,황매산축제위원회,경상남도 합천군청 산림과,,055-930-4752,https://www.hc.go.kr/09418/09428/09429.web,,경상남도 합천군 가회면 황매산공원길 4,,35.48184913,128.0037495,2025-08-08,5480000,경상남도 합천군,76,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
대장경기록문화축제,대장경테마파크,2025-10-22,2025-10-26,전시 및 공연 등 기록문화를 느낄 수 있는 축제,경상남도 합천군청,경상남도 합천군청 관광진흥과,,055-930-4697,https://www.hc.go.kr/06573/08250.web,,경상남도 합천군 가야면 가야산로 1160,,35.76749785,128.1365362,2025-08-08,5480000,경상남도 합천군,77,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
수려한합천영화제,합천영상테마파크 + 합천군일원,2025-10-01,2025-10-05,합천영상테마파크를 중심으로 영화인과 관객이 어우러지는 영화문화축제,합천군관광협의회,경상남도 합천군청 관광진흥과,경상남도,055-930-3753,,,경상남도 합천군 용주면 합천호수로 757,,35.54840705,128.0728404,2025-08-08,5480000,경상남도 합천군,139,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고스트파크,합천영상테마파크,2025-08-01,2025-08-17,합천영상테마파크에서 열리는 여름 호러테마축제,경상남도 합천군청,경상남도 합천군청,,055-930-4663,https://hcgfest.com/,,경상남도 합천군 용주면 합천호수로 757,경상남도 합천군 용주면 가호리 256-5,35.54840705,128.0728404,2025-08-08,5480000,경상남도 합천군,28,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 통영한산대첩축제,통영한산대첩광장 및 통영시 일원,2025-08-08,2025-08-14,고유제+군점+이순신장군 행렬+한산대첩 재현+학술발표회+통제영무과 체험마당,(재)통영한산대첩문화재단,(재)통영한산대첩문화재단,문화체육관광부+경상남도+경상남도 통영시,055-650-0522,https://tyhansancf.or.kr/,,경상남도 통영시 세병로 27(문화동),경상남도 통영시 문화동 62,34.84715495,128.423489,2025-08-07,5330000,경상남도 통영시,201,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025년 을사년 탐라국입춘굿,제주시·서귀포시일원·관덕정·제주목관아,2025-02-02,2025-02-04,제주는 1만8000 신들의 나라다. 이들이 하늘의 신에게 부름을 받아 하늘에 다녀오는 기간을 가리켜 ‘신구간이라고 한다. 옛 제주 사람들은 이 때에만 집을 옮기고 집을 수리할 수 있다고 생각했다. 함부로 이사를 하다간 신들을 노하게 할 수 있다고 생각한 것이다. 신구간이 끝나고 신들이 제주 섬으로 내려올 때가 되면 무당은 굿으로 신들을 불러들이는 제를 지낸다. 이것이 ‘입춘굿이다.,제주특별자치도 제주시,제주특별자치도 제주시+제주민예총,,064-758-0332,,,제주특별자치도 제주시 관덕로 19,,33.513394,126.5214658,2025-09-15,6500000,제주특별자치도,115,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제18회 전농로 왕벚꽃 축제,삼도1동주민센터 주변,2025-03-28,2025-03-30,대표적인 벚꽃 명소인 전농로는 제주에서 가장 오래된 왕벚나무 가로수길이다. 제주왕벚꽃축제가 열리는 동안 차 없는 거리를 운영해 벚꽃이 눈처럼 날리는 벚꽃거리를 마음껏 즐길 수 있게 했다. 밤에는 등불과 어울려 또 다른 즐거움을 선사한다.,삼도1동축제추진위원회,삼도1동축제추진위원회,,064-728-4524,,,제주특별자치도 제주시 전농로 40,,33.5133545,126.5214079,2025-09-15,6500000,제주특별자치도,174,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 제주들불축제,새별오름 일원,2025-03-14,2025-03-16,제주의 전통문화와 미디어아트와의 만남 시민이 직접 기획하고 참여하는 축제 자연친화적인 환경 축제로 새롭게 탄생한‘2025 제주들불축제에 여러분을 초대합니다,제주특별자치도 제주시,제주특별자치도 제주시,,064-728-2752,https://firefestivaljeju.com/,,제주특별자치도 제주시 애월읍 화전길 201,,33.3515689,126.3894999,2025-09-15,6500000,제주특별자치도,105,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 신풍벚꽃터널 축제,신풍리 레포츠 공원,2025-03-29,2025-03-30,신풍벚꽃터널은 주민 참여 예산으로 진행된 축제로 작년 2024년 3월 30일-31일을 1회로 시작하게 되었습니다. 올해는 신풍리레포츠공원 일원에서 3㎞가 넘게 벚꽃이 흐드러지게 펼쳐지는 신풍리 벚꽃길을 배경으로 다양한 프로그램을 진행합니다.,신풍벚꽃터널축제위원회,신풍벚꽃터널축제위원회,,064-782-0311,https://sinpungli.com/,,제주특별자치도 서귀포시 성산읍 남산봉로 247,,33.3792492,126.8152069,2025-09-15,6500000,제주특별자치도,138,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제14회 서귀포봄맞이축제,서귀진지+서복공원 등,2025-03-21,2025-03-21,가장 일찍 봄이 시작되는 서귀포에서 지역의 전통문화에 기반한 봄맞이 축제,서귀포문화사업회,자연제주+왈종미술관+탐라문화유산보존회 등,,064-733-2345,,,제주특별자치도 서귀포시 이중섭로 29,,33.2455527,126.5643216,2025-09-15,6500000,제주특별자치도,183,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제 27회 서귀포 유채꽃 국제걷기대회,제주월드컵경기장,2025-03-22,2025-03-23,유채꽃을 배경으로 관광객과 도민이 함께 참여하는 제 27회 서귀포 유채꽃 국제걷기대회,제주특별자치도 서귀포시,제주특별자치도 서귀포시,,064-739-7201,http://www.jejusta.or.kr/index.php,,제주특별자치도 서귀포시 월드컵로 33,,33.2462599,126.5091903,2025-09-15,6500000,제주특별자치도,34,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제14회 우도소라축제,우도면 천진항 광장,2025-04-25,2025-04-27,4월 꼭 가봐야 하는 우도 최대 축제 우도소라축제가 ‘제주 지역 1등 최우수 축제로 선정되어 돌아왔습니다.,우도면연합청년회,우도면사무소,,064-728-4329,,,제주특별자치도 제주시 우도면 우도해안길 70,,33.4928568,126.9515778,2025-09-15,6500000,제주특별자치도,159,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
